Big TCL TV Remote

BUTTON;Keycode
------;-------

Dpad_up;KEYCODE_DPAD_UP
Dpad_down;KEYCODE_DPAD_DOWN
Dpad_left;KEYCODE_DPAD_LEFT
Dpad_right;KEYCODE_DPAD_RIGHT
Dpad_center;KEYCODE_DPAD_CENTER
P_up;KEYCODE_CHANNEL_UP
P_down;KEYCODE_CHANNEL_DOWN
List;4090
T_rond;4020
Info;KEYCODE_INFO
Home:***Not sent**
Settings(Gear);4077
Menu;KEYCODE_MENU
Sources;KEYCODE_TV_INPUT
<-;KEYCODE_BACK
Exit;KEYCODE_BACK
Program+;KEYCODE_CHANNEL_UP
Program-;KEYCODE_CHANNEL_DOWN
GUIDE;4001
TEXT;4086
LANG;4084
SUBT.;KEYCODE_CAPTIONS
RED;KEYCODE_PROG_RED
GREEN;KEYCODE_PROG_GREEN
YELLOW;KEYCODE_PROG_YELLOW
BLUE;KEYCODE_PROG_BLUE
<<;KEYCODE_MEDIA_REWIND
||;KEYCODE_MEDIA_PAUSE
>>;KEYCODE_MEDIA_FAST_FORWARD
REC;KEYCODE_MEDIA_RECORD
PLAY;KEYCODE_MEDIA_PLAY
STOP;KEYCODE_MEDIA_STOP
NETFLIX;4062


Small TCL TV Remote

Settings(gear);4077
Dpad_up;KEYCODE_DPAD_UP
Dpad_down;KEYCODE_DPAD_DOWN
Dpad_left;KEYCODE_DPAD_LEFT
Dpad_right;KEYCODE_DPAD_RIGHT
Dpad_center;KEYCODE_DPAD_CENTER
P_up;KEYCODE_CHANNEL_UP
P_down;KEYCODE_CHANNEL_DOWN
Home:***Not sent**
Menu;KEYCODE_MENU
<-;KEYCODE_BACK
Sources;KEYCODE_TV_INPUT
Google Assistant:***Not sent***
Multicolor:4056
Program+;KEYCODE_CHANNEL_UP
Program-;KEYCODE_CHANNEL_DOWN
NETFLIX;4062
T_rond;4020
